Letter: 'a', Occurrences: 66902
Letter: 'b', Occurrences: 16124
Letter: 'c', Occurrences: 32677
Letter: 'd', Occurrences: 29115
Letter: 'e', Occurrences: 90718
Letter: 'f', Occurrences: 10865
Letter: 'g', Occurrences: 23208
Letter: 'h', Occurrences: 20196
Letter: 'i', Occurrences: 68414
Letter: 'j', Occurrences: 2041
Letter: 'k', Occurrences: 8837
Letter: 'l', Occurrences: 42121
Letter: 'm', Occurrences: 23213
Letter: 'n', Occurrences: 58705
Letter: 'o', Occurrences: 50467
Letter: 'p', Occurrences: 22664
Letter: 'q', Occurrences: 1583
Letter: 'r', Occurrences: 58898
Letter: 's', Occurrences: 95541
Letter: 't', Occurrences: 54034
Letter: 'u', Occurrences: 27109
Letter: 'v', Occurrences: 8159
Letter: 'w', Occurrences: 7776
Letter: 'x', Occurrences: 2183
Letter: 'y', Occurrences: 13024
Letter: 'z', Occurrences: 2175
